Title	URL	Assignees	Status	Priority	Estimate	Size	Iteration
Github one click to build the APK	https://github.com/GatherSpot/MobileApp/issues/110	markh0rr	Done Sprint 6		1		
Profile picture	https://github.com/GatherSpot/MobileApp/issues/86	markh0rr	Done Sprint 6		6		
Save draft event	https://github.com/GatherSpot/MobileApp/issues/111	SamBachmann	Done Sprint 6		7		
Fix Event so that it stores ID of the organizer	https://github.com/GatherSpot/MobileApp/issues/138	mmalonga	Done Sprint 6				
Reference Profile id rather than Profile	https://github.com/GatherSpot/MobileApp/issues/90	Stuce-bot	Done Sprint 6				
Synchronize application with Firebase (modification of an event should be reflected)	https://github.com/GatherSpot/MobileApp/issues/112	WesLeeO	Done Sprint 1		8		
Fix Event creation to save the organiser of the event	https://github.com/GatherSpot/MobileApp/issues/126	SamBachmann	In Progress Sprint 6		4		
Default filter (by user interests)	https://github.com/GatherSpot/MobileApp/issues/113	WesLeeO	In Progress Sprint 6		3		
Improve filtering : loading events based on selected filters.	https://github.com/GatherSpot/MobileApp/issues/88	WesLeeO	Done Sprint 5				
Improve the UI for the chat list	https://github.com/GatherSpot/MobileApp/issues/89	Mathurinnn	Done Sprint 5		7		
Delete User	https://github.com/GatherSpot/MobileApp/issues/91	mmalonga	Done Sprint 5		2		
Complete sign up flow	https://github.com/GatherSpot/MobileApp/issues/94	mmalonga	Done Sprint 5		3		
Improve event UI in main flow	https://github.com/GatherSpot/MobileApp/issues/92	SamBachmann	Done Sprint 5		7		
Implement the model for a chat conversation	https://github.com/GatherSpot/MobileApp/issues/93	Eliasgoat	Done Sprint 5				
Button to follow profiles	https://github.com/GatherSpot/MobileApp/issues/131	Stuce-bot	Done Sprint 5				
Map the image API adaptor to firebase API calls	https://github.com/GatherSpot/MobileApp/issues/59	markh0rr	Done Sprint 5		5		
ProfileFirebaseConnection	https://github.com/GatherSpot/MobileApp/issues/102	mmalonga	Done Sprint 5		2		
As a user, I want to be able to create draft events so that I can use the application in offline mode	https://github.com/GatherSpot/MobileApp/issues/144		Done Sprint 6				
As a participant I want to chat with the people from the event so that I can clarify any questions			Sprint 6 Backlog				
As a user, I want my preferences to be understood and acknowledged so that my experience is more relevant	https://github.com/GatherSpot/MobileApp/issues/148		In Progress Sprint 6				
